,Unnamed: 0,line_num,word_num,left,width,conf,text,nearest,csum
4,4,1,1,1268,54,92.94104,D.,,0
5,5,1,2,1350,180,95.314575,Brawn,82.0,1
6,6,1,3,1554,358,95.961212,Manufacture,204.0,2
8,8,2,1,370,172,96.780296,Invoice,-1184.0,3
9,9,2,2,562,70,92.984619,no.,192.0,3
10,10,2,3,656,404,92.200783,DVT-AX-345678,94.0,4
12,12,3,1,368,182,95.270126,Payment,-288.0,5
13,13,3,2,563,99,95.270126,date:,195.0,5
14,14,3,3,680,230,96.142487,03/12/2006,117.0,6
16,16,4,1,236,209,95.588364,Reference,-444.0,7
17,17,4,2,658,242,96.640327,Designation,422.0,7
18,18,4,3,1518,70,95.229645,Qty,860.0,7
19,19,4,4,1636,80,73.184479,Unit,118.0,7
20,20,4,5,1732,98,73.184479,price,96.0,8
21,21,4,6,1914,212,60.467209,TotalCHF,182.0,9
22,22,4,7,2222,114,75.694,Sales,308.0,9
24,24,5,1,234,108,96.228172,Work,-1988.0,10
25,25,5,2,1102,2,45.404758,|,868.0,10
27,27,6,1,232,202,91.880539,SERVICE,-870.0,11
28,28,6,2,452,30,90.487587,D,220.0,11
29,29,6,3,656,256,95.799896,COMPLETE,204.0,12
30,30,6,4,928,253,95.87381,OVERHAUL,272.0,13
31,31,6,5,1520,16,89.079681,4,592.0,13
32,32,6,6,1634,166,13.202316,5500.00,114.0,14
33,33,6,7,1960,166,96.431786,5500.00,326.0,14
34,34,6,8,2260,76,96.304726,220,300.0,14
36,36,7,1,236,200,91.68071,SERVICE,-2024.0,15
37,37,7,2,452,30,87.511238,D,216.0,15
38,38,7,3,664,300,96.444336,REFRESHING,212.0,16
39,39,7,4,980,253,96.551651,COMPLETE,316.0,16
40,40,7,5,1248,126,96.441902,CASE,268.0,16
41,41,7,6,1520,16,79.956314,1,272.0,16
42,42,7,7,1636,139,96.607552,380.00,116.0,17
43,43,7,8,1986,140,96.677414,380.00,350.0,17
44,44,7,9,2258,78,96.624832,220,272.0,17
46,46,8,1,659,97,96.127136,AND,-1599.0,18
47,47,8,2,772,218,96.179893,RHODIUM,113.0,19
48,48,8,3,1008,118,96.139824,BATH,236.0,19
50,50,9,1,236,156,96.70755,Exterior,-772.0,20
51,51,9,2,406,110,96.977554,parts:,170.0,20
53,53,10,1,234,310,69.099083,JO.297.065.FP,-172.0,21
54,54,10,2,660,114,95.668602,FLAT,426.0,21
55,55,10,3,787,187,95.668602,GASKET,127.0,22
56,56,10,4,1521,17,29.84964,fl,734.0,22
57,57,10,5,1634,94,96.788422,3.00,113.0,23
58,58,10,6,2038,86,95.282318,3.00,404.0,23
59,59,10,7,2260,74,96.07473,220,222.0,23
61,61,11,1,232,312,73.05777,JO.197.075.FP,-2028.0,24
62,62,11,2,593,33,19.163048,=,361.0,24
63,63,11,3,660,112,58.137341,FLAT,67.0,25
64,64,11,4,786,196,89.766342,GASKET,126.0,26
65,65,11,5,1520,16,71.093407,1,734.0,26
66,66,11,6,1633,91,71.093407,4.00,113.0,26
67,67,11,7,2036,88,94.370033,4.00,403.0,26
68,68,11,8,2258,76,96.610001,220,222.0,26
70,70,12,1,232,318,78.963898,JO.199.059.0S,-2026.0,27
71,71,12,2,601,26,3.016014,|,369.0,27
72,72,12,3,660,112,20.085968,FLAT,59.0,28
73,73,12,4,786,168,20.085968,ROUND,126.0,29
74,74,12,5,968,208,86.529526,GASKET,182.0,30
75,75,12,6,1520,16,83.089203,1,552.0,30
76,76,12,7,1632,90,86.523056,6.00,112.0,30
77,77,12,8,2034,90,74.600121,6.00,402.0,30
78,78,12,9,2259,75,76.712379,220,225.0,30
80,80,13,1,232,300,22.852325,V1.261.036.BC,-2027.0,31
81,81,13,2,658,318,91.090759,W.G.FIXATION,426.0,31
82,82,13,3,994,206,95.65831,SCREWS.,336.0,31
83,83,13,4,1520,47,83.774055,10,526.0,31
84,84,13,5,1634,88,91.791489,4.00,114.0,31
85,85,13,6,2010,115,93.439362,40.00,376.0,31
86,86,13,7,2258,76,96.519066,220,248.0,31
88,88,14,1,231,299,42.149067,"Al.465.055,BC",-2027.0,32
89,89,14,2,658,148,96.039658,WHITE,427.0,32
90,90,14,3,822,129,93.909164,GOLD,164.0,32
91,91,14,4,966,136,95.167885,"""FOIL""",144.0,33
92,92,14,5,1521,15,86.81797,1,555.0,33
93,93,14,6,1635,115,93.763023,70.00,114.0,34
94,94,14,7,2012,112,94.787796,76.00,377.0,34
95,95,14,8,2258,76,94.786789,220,246.0,34
97,97,15,1,658,328,21.982613,PAIROFHAND,-1600.0,35
99,99,16,1,658,198,93.145393,LENGTH:,0.0,36
100,100,16,2,876,252,71.875496,10/13.50MM,218.0,37
102,102,17,1,658,196,95.785408,CALIBRE,-218.0,38
103,103,17,2,866,108,96.798347,2868,208.0,38
105,105,18,1,658,194,79.298843,SPECIAL,-208.0,39
106,106,18,2,868,240,96.178635,DISCOUNT,210.0,40
107,107,18,3,1634,182,46.063423,â€œ3003.00,766.0,40
108,108,18,4,1942,182,54.472637,-3003.00,308.0,40
110,110,19,1,658,197,22.974007,Discount,-1284.0,41
111,111,19,2,1600,2,0.0,~,942.0,41
112,112,19,3,1662,158,0.0, -900.00,62.0,42
113,113,19,4,1968,156,91.40593,-900.00,306.0,42
115,115,20,1,656,110,93.399567,Total,-1312.0,43
116,116,20,2,782,94,96.568474,CHF,126.0,43
117,117,20,3,1957,167,88.691452,2100.00,1175.0,43
119,119,21,1,366,152,96.292679,RETURN,-1591.0,44
120,120,21,2,528,124,96.036873,AFTER,162.0,44
121,121,21,3,664,136,96.757317,REPAIR,136.0,45
123,123,22,1,365,53,96.784973,NO,-299.0,46
124,124,22,2,430,254,96.131447,COMMERCIAL,65.0,47
125,125,22,3,691,123,96.934303,VALUE,261.0,47
127,127,23,1,1686,189,94.821014,Payment:,995.0,47
129,129,24,1,1684,50,95.651527,Mr.,-2.0,48
130,130,24,2,1744,84,59.419281,John,60.0,49
131,131,24,3,1840,67,95.068901,Doe,96.0,49
133,133,25,1,1682,102,96.719597,Green,-158.0,50
134,134,25,2,1794,104,96.384888,Street,112.0,51
135,135,25,3,1911,44,96.855408,"15,",117.0,51
136,136,25,4,1970,100,92.901978,Office,59.0,52
137,137,25,5,2078,20,95.952888,4,108.0,52
139,139,26,1,1684,80,80.965942,4234,-394.0,53
140,140,26,2,1774,122,92.584579,Vermut,90.0,54
142,142,27,1,1684,74,96.702705,New,-90.0,55
143,143,27,2,1768,166,96.125893,Caledonia,84.0,56
145,145,28,1,1683,101,96.253174,Credit,-85.0,57
146,146,28,2,1792,88,96.658661,Card:,109.0,57
147,147,28,3,1890,76,93.235565,Visa,98.0,57
149,149,29,1,1682,80,95.908882,Card,-208.0,58
150,150,29,2,1774,54,94.836609,No:,92.0,58
151,151,29,3,1846,182,95.058357,112345678,72.0,59
